Schema,Table,Index,Kolonlar,Unique,Scans,Olası_Unused,Duplicate_Aday,Risk,Oneri
public,consultant_categories,consultant_categories_user_id_category_key,"user_id, category",EVET,2,hayir,hayir,DUSUK,Koru
public,consultant_social_media_links,consultant_social_media_links_created_at_idx,created_at DESC,hayir,29,hayir,hayir,DUSUK,Koru
public,consultant_social_media_links,consultant_social_media_links_name_idx,name,hayir,29,hayir,hayir,DUSUK,Koru
public,consultant_social_media_links,consultant_social_media_links_pkey,id,EVET,29,hayir,hayir,DUSUK,Koru
public,contact_messages,contact_messages_pkey,id,EVET,0,Manuel dogrulama,hayir,DUSUK,Koru
public,contacts,contacts_pkey,id,EVET,2,hayir,hayir,DUSUK,Koru
public,contributor_social_media_links,contributor_social_media_links_created_at_idx,created_at DESC,hayir,28,hayir,hayir,DUSUK,Koru
public,contributor_social_media_links,contributor_social_media_links_name_idx,name,hayir,28,hayir,hayir,DUSUK,Koru
public,contributor_social_media_links,contributor_social_media_links_pkey,id,EVET,28,hayir,hayir,DUSUK,Koru
public,coupon_purchases,coupon_purchases_pkey,id,EVET,0,Manuel dogrulama,hayir,DUSUK,Koru
public,coupon_purchases,idx_coupon_purchases_business,business_user_id,hayir,0,Manuel dogrulama,hayir,DUSUK,scan=0; trafik/plan verisi olmadan SILME. Manuel dogrulama gerekli
public,coupon_purchases,idx_coupon_purchases_buyer,buyer_id,hayir,0,Manuel dogrulama,hayir,DUSUK,scan=0; trafik/plan verisi olmadan SILME. Manuel dogrulama gerekli
public,diaspora_city_scan_queue,diaspora_city_scan_queue_pkey,id,EVET,17,hayir,hayir,DUSUK,Koru
public,diaspora_city_scan_queue,diaspora_city_scan_queue_unique,"country, city_slug",EVET,17,hayir,hayir,DUSUK,Koru
public,diaspora_instagram_accounts,diaspora_instagram_accounts_instagram_url_unique,instagram_url,EVET,113,hayir,hayir,DUSUK,Koru
public,diaspora_instagram_accounts,diaspora_instagram_accounts_pkey,id,EVET,113,hayir,hayir,DUSUK,Koru
public,diaspora_instagram_accounts,diaspora_instagram_accounts_username_unique,username,EVET,113,hayir,hayir,DUSUK,Koru
public,diaspora_scan_runs,diaspora_scan_runs_pkey,id,EVET,7,hayir,hayir,DUSUK,Koru
public,direct_messages,direct_messages_pkey,id,EVET,3,hayir,hayir,DUSUK,Koru
public,direct_messages,direct_messages_recipient_idx,"recipient_id, created_at DESC",hayir,3,hayir,hayir,DUSUK,Koru
public,direct_messages,direct_messages_sender_idx,"sender_id, created_at DESC",hayir,3,hayir,hayir,DUSUK,Koru
public,doc_categories,doc_categories_pkey,id,EVET,46,hayir,hayir,DUSUK,Koru
public,doc_categories,doc_categories_slug_key,slug,EVET,46,hayir,hayir,DUSUK,Koru
public,doc_categories,doc_categories_sort_order_idx,sort_order,hayir,46,hayir,hayir,DUSUK,Koru
public,draft_notlar,draft_notlar_pkey,id,EVET,6,hayir,hayir,DUSUK,Koru
public,duplicate_candidates,duplicate_candidates_left_item_id_right_item_id_key,"left_item_id, right_item_id",EVET,5,hayir,hayir,DUSUK,Koru
public,duplicate_candidates,duplicate_candidates_pkey,id,EVET,5,hayir,hayir,DUSUK,Koru
public,duplicate_candidates,idx_duplicate_candidates_status,"status, confidence DESC",hayir,5,hayir,hayir,DUSUK,Koru
public,edge_rate_limits,edge_rate_limits_pkey,"scope, client_key",EVET,2,hayir,hayir,DUSUK,Koru
public,edge_rate_limits,idx_edge_rate_limits_updated_at,updated_at,hayir,2,hayir,hayir,DUSUK,Koru
public,entity_metadata,entity_metadata_entity_type_entity_key_key,"entity_type, entity_key",EVET,194,hayir,EVET,DUSUK,"Ayni kolon imzasi: olasi duplicate index, manuel dogrula"
public,entity_metadata,entity_metadata_pkey,id,EVET,194,hayir,hayir,DUSUK,Koru
public,entity_metadata,idx_entity_metadata_type_key,"entity_type, entity_key",hayir,194,hayir,EVET,DUSUK,"Ayni kolon imzasi: olasi duplicate index, manuel dogrula"
public,event_details,event_details_pkey,item_id,EVET,2049,hayir,hayir,DUSUK,Koru
public,event_details,idx_event_details_starts_at,starts_at,hayir,2049,hayir,hayir,DUSUK,Koru
public,events,events_pkey,id,EVET,2,hayir,hayir,DUSUK,Koru
public,events,idx_events_country_city,"country, city",hayir,2,hayir,hayir,DUSUK,Koru
public,events,idx_events_date,event_date,hayir,2,hayir,hayir,DUSUK,Koru
public,events,idx_events_organizer_type,organizer_type,hayir,2,hayir,hayir,DUSUK,Koru
public,events,idx_events_user,user_id,hayir,2,hayir,hayir,DUSUK,Koru
public,expenses,expenses_pkey,id,EVET,88,hayir,hayir,DUSUK,Koru
public,expenses,idx_expenses_category,category,hayir,88,hayir,hayir,DUSUK,Koru
public,expenses,idx_expenses_currency,currency,hayir,88,hayir,hayir,DUSUK,Koru
public,expenses,idx_expenses_date,expense_date DESC,hayir,88,hayir,hayir,DUSUK,Koru
public,expenses,idx_expenses_person,person,hayir,88,hayir,hayir,DUSUK,Koru
public,expenses,idx_expenses_status,status,hayir,88,hayir,hayir,DUSUK,Koru
public,feature_catalog,feature_catalog_pkey,key,EVET,15683,hayir,hayir,DUSUK,Koru
public,feature_catalog,idx_feature_catalog_scope_role,scope_role,hayir,15683,hayir,hayir,DUSUK,Koru
public,feature_definitions,feature_definitions_pkey,key,EVET,425,hayir,hayir,DUSUK,Koru
